Team Name,Details
PHD,{}
OV,"{""RELEASE REGRESSION  "": {""Order Search, Sort by"": {""TC Executed"": 8, ""TC Passed"": 5, ""TC Failed"": 3}, ""Risk Reason"": {""TC Executed"": 3, ""TC Passed"": 2, ""TC Failed"": 1}, ""Order Listing Filters  left pannel"": {""TC Executed"": 5, ""TC Passed"": 0, ""TC Failed"": 5}, ""Order Listing "": {""TC Executed"": 6, ""TC Passed"": 3, ""TC Failed"": 3}, ""OIS Notification"": {""TC Executed"": 6, ""TC Passed"": 0, ""TC Failed"": 6}, ""Export views, Saved templates and sharable templates"": {""TC Executed"": 9, ""TC Passed"": 8, ""TC Failed"": 1}, ""Comment and Bulk Comments"": {""TC Executed"": 3, ""TC Passed"": 2, ""TC Failed"": 1}}}"
Dynamic Yard Fusion (DYF),"{""DYP QAT Regression"": {""Tasks (Bump)"": {""TC Executed"": 7, ""TC Passed"": 4, ""TC Failed"": 3}, ""Tasks (Filters)"": {""TC Executed"": 24, ""TC Passed"": 5, ""TC Failed"": 19}, ""Tasks (Move Spot)"": {""TC Executed"": 15, ""TC Passed"": 1, ""TC Failed"": 14}, ""Tasks (PreCool)"": {""TC Executed"": 7, ""TC Passed"": 2, ""TC Failed"": 5}, ""Tasks (Refuel)"": {""TC Executed"": 8, ""TC Passed"": 5, ""TC Failed"": 3}, ""Ad-hoc Shipments (Check-in)"": {""TC Executed"": 18, ""TC Passed"": 0, ""TC Failed"": 18}, ""Check-in"": {""TC Executed"": 34, ""TC Passed"": 1, ""TC Failed"": 33}, ""Check-out"": {""TC Executed"": 9, ""TC Passed"": 0, ""TC Failed"": 9}, ""Docks (Docks Table)"": {""TC Executed"": 40, ""TC Passed"": 6, ""TC Failed"": 34}, ""Docks (Spot task filters)"": {""TC Executed"": 25, ""TC Passed"": 2, ""TC Failed"": 23}}, ""DYP QAT Regression (Switchers)"": {""Tasks (Switchers)"": {""TC Executed"": 11, ""TC Passed"": 8, ""TC Failed"": 3}}}"
Online Appointment Scheduling (OAS),"{""QAT Regression - MLA"": {""Shipperportal(ReasonCode Off) - MLA"": {""TC Executed"": 17, ""TC Passed"": 1, ""TC Failed"": 16}, ""Shipperportal(ReasonCode On) - MLA"": {""TC Executed"": 11, ""TC Passed"": 6, ""TC Failed"": 5}, ""Carrierportal(ReasonCode Off) - MLA"": {""TC Executed"": 6, ""TC Passed"": 0, ""TC Failed"": 6}, ""Carrierportal(ReasonCode On) - MLA"": {""TC Executed"": 6, ""TC Passed"": 0, ""TC Failed"": 6}}, ""Qat Regression - Part 1"": {""Notifications"": {""TC Executed"": 7, ""TC Passed"": 0, ""TC Failed"": 7}, ""Carrier Portal (Appointment Manager) - Part 2"": {""TC Executed"": 9, ""TC Passed"": 4, ""TC Failed"": 5}, ""Carrier Portal (Appointment Manager) - Part 1"": {""TC Executed"": 32, ""TC Passed"": 24, ""TC Failed"": 8}, ""Facility Admin"": {""TC Executed"": 9, ""TC Passed"": 6, ""TC Failed"": 3}, ""Shipper Portal Features Part-1"": {""TC Executed"": 30, ""TC Passed"": 22, ""TC Failed"": 8}, ""Shipper Portal (Calendar and CBC Features) - Part 1"": {""TC Executed"": 17, ""TC Passed"": 14, ""TC Failed"": 3}, ""Sanity"": {""TC Executed"": 5, ""TC Passed"": 4, ""TC Failed"": 1}, ""Appointment Section (Global,Load list,List View,Calendar View)"": {""TC Executed"": 10, ""TC Passed"": 7, ""TC Failed"": 3}, ""Login and Logout"": {""TC Executed"": 2, ""TC Passed"": 0, ""TC Failed"": 2}, ""Live Dashboard"": {""TC Executed"": 12, ""TC Passed"": 12, ""TC Failed"": 0}, ""Appointments"": {""TC Executed"": 7, ""TC Passed"": 5, ""TC Failed"": 2}}, ""Qat Regression - Part 2"": {""Reserve slot"": {""TC Executed"": 5, ""TC Passed"": 4, ""TC Failed"": 1}, ""Standing appointment creation"": {""TC Executed"": 5, ""TC Passed"": 4, ""TC Failed"": 1}, ""Standing Appointment Updation "": {""TC Executed"": 5, ""TC Passed"": 4, ""TC Failed"": 1}, ""trac to am sync"": {""TC Executed"": 12, ""TC Passed"": 4, ""TC Failed"": 8}, ""Appointment Audit Trail"": {""TC Executed"": 7, ""TC Passed"": 4, ""TC Failed"": 3}, ""eta indicator"": {""TC Executed"": 3, ""TC Passed"": 0, ""TC Failed"": 3}, ""Facility Networks"": {""TC Executed"": 7, ""TC Passed"": 4, ""TC Failed"": 3}, ""Multi select unblocking"": {""TC Executed"": 6, ""TC Passed"": 6, ""TC Failed"": 0}}}"
AIR (AIR),"{""Night Air run"": {""Air Booking Service cases (Air)"": {""TC Executed"": 12, ""TC Passed"": 11, ""TC Failed"": 1}, ""Air Milestones Service cases (Air)"": {""TC Executed"": 54, ""TC Passed"": 39, ""TC Failed"": 15}, ""Air Worker Cases(Air)"": {""TC Executed"": 24, ""TC Passed"": 17, ""TC Failed"": 7}, ""Air Service cases(Air)"": {""TC Executed"": 5, ""TC Passed"": 5, ""TC Failed"": 0}, ""Common Service cases (Air)"": {""TC Executed"": 4, ""TC Passed"": 4, ""TC Failed"": 0}}}"
Barge (BARGE),"{""Barge FEC Test Execution"": {""Barge Tracking Test Cases"": {""TC Executed"": 7, ""TC Passed"": 5, ""TC Failed"": 2}}}"
Ocean (OC),"{""FEC_REGRESSION_PLAN"": {""FEC Regression signoff cases"": {""TC Executed"": 22, ""TC Passed"": 21, ""TC Failed"": 1}}, ""TRACKING FEC_REGRESSION_PLAN"": {""TRACKING FEC"": {""TC Executed"": 3, ""TC Passed"": 3, ""TC Failed"": 0}}, ""JAPANESE_REGRESSION_PLAN"": {""FEC Regression signoff cases"": {""TC Executed"": 8, ""TC Passed"": 8, ""TC Failed"": 0}}, ""UI_REGRESSION_PLAN"": {""Existing UI TCs "": {""TC Executed"": 20, ""TC Passed"": 19, ""TC Failed"": 1}}}"
RAIL (RAIL),"{""Regression Rail Run"": {""REGRESSION SUITE(Rail)"": {""TC Executed"": 13, ""TC Passed"": 6, ""TC Failed"": 7}}}"
LTL (LTLNG),"{""Regression Run"": {""Parcel Load Creation from UI load creation page."": {""TC Executed"": 3, ""TC Passed"": 3, ""TC Failed"": 0}, ""E-URL Page"": {""TC Executed"": 2, ""TC Passed"": 2, ""TC Failed"": 0}, ""LTL LOAD CREATION "": {""TC Executed"": 2, ""TC Passed"": 2, ""TC Failed"": 0}, ""TrackingService"": {""TC Executed"": 3, ""TC Passed"": 3, ""TC Failed"": 0}, ""Milestone service API"": {""TC Executed"": 2, ""TC Passed"": 2, ""TC Failed"": 0}, ""Validate PATCH API"": {""TC Executed"": 1, ""TC Passed"": 1, ""TC Failed"": 0}, ""NEW LOAD CREATION"": {""TC Executed"": 1, ""TC Passed"": 1, ""TC Failed"": 0}, ""View Load"": {""TC Executed"": 27, ""TC Passed"": 26, ""TC Failed"": 1}, ""UPS PubSub"": {""TC Executed"": 4, ""TC Passed"": 4, ""TC Failed"": 0}, ""Additional Data Ingestion"": {""TC Executed"": 4, ""TC Passed"": 4, ""TC Failed"": 0}, ""Load Service"": {""TC Executed"": 6, ""TC Passed"": 6, ""TC Failed"": 0}, ""LTL Service"": {""TC Executed"": 1, ""TC Passed"": 1, ""TC Failed"": 0}, ""Company and Network Settings LTL"": {""TC Executed"": 2, ""TC Passed"": 2, ""TC Failed"": 0}}, ""Regression run 2"": {""LTL Service"": {""TC Executed"": 2, ""TC Passed"": 2, ""TC Failed"": 0}}}"
Redesign (RD),"{""Regression"": {""Export to Excel"": {""TC Executed"": 3, ""TC Passed"": 2, ""TC Failed"": 1}, ""RD Filters"": {""TC Executed"": 17, ""TC Passed"": 17, ""TC Failed"": 0}, ""RD Browser compatibility"": {""TC Executed"": 5, ""TC Passed"": 5, ""TC Failed"": 0}, ""RD Expanded Load Card"": {""TC Executed"": 13, ""TC Passed"": 13, ""TC Failed"": 0}, ""RD Global Header "": {""TC Executed"": 3, ""TC Passed"": 3, ""TC Failed"": 0}, ""RD Load Details Journey Timeline"": {""TC Executed"": 1, ""TC Passed"": 1, ""TC Failed"": 0}, ""RD LoadList"": {""TC Executed"": 10, ""TC Passed"": 8, ""TC Failed"": 2}, ""RD Configure Shipment cards"": {""TC Executed"": 5, ""TC Passed"": 5, ""TC Failed"": 0}, ""Comments"": {""TC Executed"": 2, ""TC Passed"": 2, ""TC Failed"": 0}, ""Documents"": {""TC Executed"": 3, ""TC Passed"": 3, ""TC Failed"": 0}, ""Configure Filters"": {""TC Executed"": 11, ""TC Passed"": 9, ""TC Failed"": 2}, ""Sharable Filters"": {""TC Executed"": 5, ""TC Passed"": 5, ""TC Failed"": 0}, ""Saved Filters"": {""TC Executed"": 4, ""TC Passed"": 4, ""TC Failed"": 0}, ""Search - Copy"": {""TC Executed"": 4, ""TC Passed"": 4, ""TC Failed"": 0}, ""RD Load Card"": {""TC Executed"": 28, ""TC Passed"": 25, ""TC Failed"": 3}, ""white labelling"": {""TC Executed"": 3, ""TC Passed"": 1, ""TC Failed"": 2}}}"
