Team Name,Execution Planner Name,Goal Name,Total journey Executed,Total journey Passed,Total journey Failed,Passed Journey Names,Failed Journey Names
OV,RELEASE REGRESSION  ,Risk Reason,3,0,3,,"C26478139  UI Validation for Risk Reason, C26478140 Add Manual Risk Reason and remove Manual Risk Reason, C26478141  Validate if Search input working properly under manage Risk Reasons"
OV,RELEASE REGRESSION  ,Order Listing Filters  left pannel,5,0,5,,"C26377474 Product ID/SKU Filter check, C26296094 Order Status Filter Check, C26296220 Order Attributes Filter Check, C26296325 Customer Name and Number Filter Check, C26296326 Supplier Name and Number Filter Check, C26377472 Destination Filter Validation, C26377473: Pickup From City, Country, Name"
OV,RELEASE REGRESSION  ,Order Listing ,6,0,6,,"C26232831: Navigate to Order Lifecycle and validate all elements on the page, C26232833 Line Item Basic Validation, C26232835: Shipment Basic UI validation, C26232832 Order View Page Validation, C26232834  Deliveries Basic UI validation, Validate page under more details in order overview page, C26232968 Order Lifecycle Page Navigation"
OV,RELEASE REGRESSION  ,OIS Notification,6,0,6,,"OIS notification basic field cases, Create and delete notification rule case without exception, Edit, Search and clone notification rule case without exception, Duplicate rule creation check, Create and delete notification rule case with exception, Edit rules with exception"
OV,RELEASE REGRESSION  ,"Export views, Saved templates and sharable templates",9,0,9,"C26479758: Basic validation under Export view page, C26479759: Create new template under Export section of Order List, C26479760 Edit Template under section Order List, C26479761 Delete Template under section Order List Export, C26479762 Clone and Export Template, Export the fields and check the api response is success, Export Line items, Export Shipments",C26479763 Share created template and check if it is shared with user or not
OV,RELEASE REGRESSION  ,Comment and Bulk Comments,3,0,3,,"Post Bulk Comments, Validating Comments section Page, Post Comments"
OV,RELEASE REGRESSION  ,"Order Search, Sort by",8,0,8,,"C26478136 Search with with exact match, C26478137 search with substring, C26478138  Search with substring with exact match, C26478135  Validating UI elements belongs to Search by ID, search order sort by no line items, search order sort by Release Date and , order sort by must ship by date and RDD, search order sort by no of deliveries , search order sort by no of shipment, search with more than one order"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Check-out,9,0,9,,"C26523884 - Check-out a trailer using gate pass, C26523662 - Check-out using gate pass, inbound and outbound shipments are populated or not, C26523877 - Check-out using gate pass, inbound and outbound shipments are populated or not, C26523885 - Check-out a trailer using trailer name, C26523940 - Check-out a trailer using trailer tag, C26523941 - Check-out a trailer and populate the values based on driver name, C26523942 - Validate driver details using gate pass number, C26523943 - Validate driver details using driver name, Checkout a trailer after changes are made in section customization"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Docks (Docks Table),40,7,33,"Table settings, Table settings custom attribute, Door Legend Modal, Verify move pull request details, assign switcher, update and view request history, Move Pull Request - Door Card View, C29203155 - Validate Gatepass and print Gatepass, View the number of entries in Docks page, Update Product Protection via WMS, Update trailer details in two tabs, C29209873  - Validate no duplicate doors shown in door card list","Update Product Protection via Mobile App, C29203464 - Attach Ad-hoc shipment to the trailer and update the PO#, Load Ref #, Stop Ref #, Customer, Destination, attach and removal of loads and verify it, C29203461 - Attach Ad-hoc shipment to the trailer and update the PO#, Load Ref #, Stop Ref #, Customer, Destination, add ad remove freight and verify it, C26523954 - Update the trailer details, C26523969 - Update the trailer details and view trailer history, C26523972 - Drag and Drop the trailer, C26523973 - Add trailers to the queue, C29203180 - Attach existing shipment to the trailer and update the PO#, Load Ref #, Stop Ref #, Customer, Destination and verify it, C29203459  - Attach existing shipment to the trailer and update the PO#, Load Ref #, Stop Ref #, Customer, Destination , Add and remove freight and verify it, Attach existing shipment to the trailer and update the PO#, Load Ref #, Stop Ref #, Customer, Destination and verify it, Attach Ad-hoc shipment to the trailer and update the PO#, Load Ref #, Stop Ref #, Customer, Destination and verify it, Move Pull Request in trailer in docks with Ad-hoc Shipment, Create and Complete Different Types of Move Pull Request from Door Card View, Validate ability to update location of the trailers, C29203594 - Validate the Intermodal trailer details in docks page, Drag and Drop the Reefer Trailer, Attach ad-hoc shipment while creating move pull request, Move Pull Request in trailer in docks, Attach existing shipment while creating move pull request, Validate Pagination in Docks, Drag and Drop the OOS trailers, Validate Trailer Search functionality, Validate data in Trailer Details Modal, Validate Docks Saved Filter, Validate Column Sort in Docks, Check-in & Check-out in two tabs, Create spot task using Add Trailer, C26523972 - Drag and Drop the trailer - add trailer queue, Created tasks updated in door cards in two tabs, Cancel or reject task update in door card in two tabs, C29211887  - Drag and Drop the Reefer Trailer to create Spot Task"
Dynamic Yard Fusion (DYF),DYP QAT Regression,Tasks (Bump),7,1,6,C29211946 - View the move request history in the created bump task,"C29211939 - Create a bump task for the trailer, C29211945 - View the available switchers in the created bump task, C29211942 - Complete the created bump task, C29211943 - Cancel the created bump task, C29211944 - Update the created bump task and assign a switcher for created bump task, C29211941 - View available switchers while creating a bump task"
